target_index,seed,arm,condition,prompt_id,normalized_expected,answer_token_count,raw,strict_correct,answer_prefix_token_exact,overgeneration
0,0,A,matched,original_open,green,1,green,True,True,False
0,0,A,matched,paraphrase_open,green,1,green,True,True,False
0,0,A,matched,new_rewrite_open,green,1,green,True,True,False
0,0,A,blank,original_open,green,1,gray,False,False,False
0,0,A,blank,paraphrase_open,green,1,gray,False,False,False
0,0,A,blank,new_rewrite_open,green,1,Gray,False,False,False
0,0,A,fixed_donor,original_open,green,1,green,True,True,False
0,0,A,fixed_donor,paraphrase_open,green,1,green,True,True,False
0,0,A,fixed_donor,new_rewrite_open,green,1,ambient,False,False,False
0,0,B,matched,original_open,green,1,green,True,True,False
0,0,B,matched,paraphrase_open,green,1,green,True,True,False
0,0,B,matched,new_rewrite_open,green,1,green,True,True,False
0,0,B,blank,original_open,green,1,gray,False,False,False
0,0,B,blank,paraphrase_open,green,1,gray,False,False,False
0,0,B,blank,new_rewrite_open,green,1,Gray,False,False,False
0,0,B,fixed_donor,original_open,green,1,green,True,True,False
0,0,B,fixed_donor,paraphrase_open,green,1,green,True,True,False
0,0,B,fixed_donor,new_rewrite_open,green,1,ambient,False,False,False
0,1,A,matched,original_open,green,1,green,True,True,False
0,1,A,matched,paraphrase_open,green,1,green,True,True,False
0,1,A,matched,new_rewrite_open,green,1,green,True,True,False
0,1,A,blank,original_open,green,1,gray,False,False,False
0,1,A,blank,paraphrase_open,green,1,gray,False,False,False
0,1,A,blank,new_rewrite_open,green,1,Gray,False,False,False
0,1,A,fixed_donor,original_open,green,1,green,True,True,False
0,1,A,fixed_donor,paraphrase_open,green,1,green,True,True,False
0,1,A,fixed_donor,new_rewrite_open,green,1,ambient,False,False,False
0,1,B,matched,original_open,green,1,green,True,True,False
0,1,B,matched,paraphrase_open,green,1,green,True,True,False
0,1,B,matched,new_rewrite_open,green,1,green,True,True,False
0,1,B,blank,original_open,green,1,gray,False,False,False
0,1,B,blank,paraphrase_open,green,1,gray,False,False,False
0,1,B,blank,new_rewrite_open,green,1,Gray,False,False,False
0,1,B,fixed_donor,original_open,green,1,green,True,True,False
0,1,B,fixed_donor,paraphrase_open,green,1,green,True,True,False
0,1,B,fixed_donor,new_rewrite_open,green,1,ambient,False,False,False
0,2,A,matched,original_open,green,1,green,True,True,False
0,2,A,matched,paraphrase_open,green,1,green,True,True,False
0,2,A,matched,new_rewrite_open,green,1,green,True,True,False
0,2,A,blank,original_open,green,1,gray,False,False,False
0,2,A,blank,paraphrase_open,green,1,gray,False,False,False
0,2,A,blank,new_rewrite_open,green,1,Gray,False,False,False
0,2,A,fixed_donor,original_open,green,1,green,True,True,False
0,2,A,fixed_donor,paraphrase_open,green,1,green,True,True,False
0,2,A,fixed_donor,new_rewrite_open,green,1,ambient,False,False,False
0,2,B,matched,original_open,green,1,green,True,True,False
